time,dead,total,group,censored
0,11,60,Control,49
24,8,49,Control,41
48,13,49,Control,36
72,13,60,Control,47
0,12,49,Control,37
24,15,49,Control,34
48,28,60,Control,32
72,24,49,Control,25
0,29,49,Control,20
24,41,60,Control,19
48,43,49,Control,6
72,43,49,Control,6
0,7,49,BNC,42
24,3,45,BNC,42
48,4,56,BNC,52
72,15,49,BNC,34
0,17,45,BNC,28
24,17,56,BNC,39
48,20,49,BNC,29
72,20,45,BNC,25
0,22,56,BNC,34
24,30,49,BNC,19
48,32,45,BNC,13
72,32,56,BNC,24
0,5,42,BPHB2%,37
24,7,40,BPHB2%,33
48,5,31,BPHB2%,26
72,15,42,BPHB2%,27
0,17,40,BPHB2%,23
24,24,31,BPHB2%,7
48,27,42,BPHB2%,15
72,28,40,BPHB2%,12
0,28,31,BPHB2%,3
24,38,42,BPHB2%,4
48,27,40,BPHB2%,13
72,34,31,BPHB2%,-3
0,10,47,BPHB5%,37
24,6,41,BPHB5%,35
48,5,34,BPHB5%,29
72,25,47,BPHB5%,22
0,16,41,BPHB5%,25
24,18,34,BPHB5%,16
48,31,47,BPHB5%,16
72,38,41,BPHB5%,3
0,28,34,BPHB5%,6
24,42,47,BPHB5%,5
48,38,41,BPHB5%,3
72,29,34,BPHB5%,5
0,7,34,BPHB10%,27
24,7,47,BPHB10%,40
48,6,46,BPHB10%,40
72,16,34,BPHB10%,18
0,22,47,BPHB10%,25
24,10,46,BPHB10%,36
48,24,34,BPHB10%,10
72,26,47,BPHB10%,21
0,26,46,BPHB10%,20
24,30,34,BPHB10%,4
48,42,47,BPHB10%,5
72,40,46,BPHB10%,6
0,4,41,PHB,37
24,12,58,PHB,46
48,7,50,PHB,43
72,22,41,PHB,19
0,18,58,PHB,40
24,29,50,PHB,21
48,36,41,PHB,5
72,45,58,PHB,13
0,46,50,PHB,4
24,30,41,PHB,11
48,49,58,PHB,9
72,40,50,PHB,10
0,37,45,EoC,8
24,55,56,EoC,1
48,82,82,EoC,0
72,40,45,EoC,5
0,56,56,EoC,0
24,80,82,EoC,2
48,45,45,EoC,0
72,56,56,EoC,0
0,82,82,EoC,0
24,45,45,EoC,0
48,56,56,EoC,0
72,82,82,EoC,0
0,20,54,EoD1,34
24,12,50,EoD1,38
48,29,52,EoD1,23
72,36,54,EoD1,18
0,40,50,EoD1,10
24,30,52,EoD1,22
48,54,54,EoD1,0
72,46,50,EoD1,4
0,45,52,EoD1,7
24,54,54,EoD1,0
48,48,50,EoD1,2
72,52,52,EoD1,0
0,17,64,EoD2,47
24,15,49,EoD2,34
48,24,66,EoD2,42
72,31,64,EoD2,33
0,26,49,EoD2,23
24,46,66,EoD2,20
48,48,64,EoD2,16
72,39,49,EoD2,10
0,48,66,EoD2,18
24,61,64,EoD2,3
48,48,49,EoD2,1
72,66,66,EoD2,0
